Zeit,Temperatur(℃),Taupunkt(℃),Wärmeindex(℃),Luftfeuchtigkeit(%)
2020/12/1 17:57,14.3,6.4,14.3,59
2020/12/1 18:02,18.5,8.5,18.5,52
2020/12/1 18:07,18.5,8.8,18.5,53
2020/12/1 18:12,18.5,8.8,18.5,53
2020/12/1 18:17,18.5,9.0,18.5,54
2020/12/1 18:22,18.4,9.2,18.4,55
2020/12/1 18:27,18.4,9.2,18.4,55
2020/12/1 18:32,18.4,9.2,18.4,55
2020/12/1 18:37,18.3,9.4,18.3,56
2020/12/1 18:42,18.3,9.4,18.3,56
2020/12/1 18:47,18.3,9.7,18.3,57
2020/12/1 18:52,18.3,9.7,18.3,57
2020/12/1 18:59,18.3,9.7,18.3,57
2020/12/1 19:04,18.3,9.7,18.3,57
2020/12/1 19:09,18.3,9.9,18.3,58
2020/12/1 19:14,18.3,9.9,18.3,58
2020/12/1 19:19,19.0,10.1,19.0,56
2020/12/1 19:24,19.7,9.9,19.7,53
2020/12/1 19:29,20.0,9.9,20.0,52
2020/12/1 19:34,20.1,9.7,20.1,51
2020/12/1 19:39,20.2,9.8,20.2,51
2020/12/1 19:44,20.3,9.6,20.3,50
2020/12/1 19:49,20.3,9.6,20.3,50
2020/12/1 19:54,20.4,9.6,20.4,50
2020/12/1 19:59,20.4,9.3,20.4,49
2020/12/1 20:04,20.5,9.4,20.5,49
2020/12/1 20:09,20.5,9.4,20.5,49
2020/12/1 20:15,20.5,9.4,20.5,49
2020/12/1 20:25,20.7,9.6,20.7,49
2020/12/1 20:30,20.7,9.6,20.7,49
2020/12/1 20:35,20.7,9.6,20.7,49
2020/12/1 20:40,20.7,9.6,20.7,49
2020/12/1 20:45,20.8,9.7,20.8,49
2020/12/1 20:50,20.8,9.7,20.8,49
2020/12/1 20:55,20.8,9.7,20.8,49
2020/12/1 21:03,21.7,10.2,21.7,48
2020/12/1 21:08,22.1,10.6,22.1,48
